"Table","Index","Value","File","Line"
"action_bits","0","SPEC","src\constants.c","194"
"action_bits","1","SENTINEL","src\constants.c","194"
"action_bits","2","SCAVENGER","src\constants.c","194"
"action_bits","3","ISNPC","src\constants.c","194"
"action_bits","4","AWARE","src\constants.c","194"
"action_bits","5","AGGR","src\constants.c","194"
"action_bits","6","STAY-ZONE","src\constants.c","194"
"action_bits","7","WIMPY","src\constants.c","194"
"action_bits","8","AGGR_EVIL","src\constants.c","194"
"action_bits","9","AGGR_GOOD","src\constants.c","194"
"action_bits","10","AGGR_NEUTRAL","src\constants.c","194"
"action_bits","11","MEMORY","src\constants.c","194"
"action_bits","12","HELPER","src\constants.c","194"
"action_bits","13","NO_CHARM","src\constants.c","194"
"action_bits","14","NO_SUMMN","src\constants.c","194"
"action_bits","15","NO_SLEEP","src\constants.c","194"
"action_bits","16","NO_BASH","src\constants.c","194"
"action_bits","17","NO_BLIND","src\constants.c","194"
"action_bits","18","NO_KILL","src\constants.c","194"
"action_bits","19","GUILD_MASTER","src\constants.c","194"
"action_bits","20","NOTDEADYET","src\constants.c","194"
"action_bits","21","RARE","src\constants.c","194"
"action_bits","22","DEAD","src\constants.c","194"
"action_bits","23","\n","src\constants.c","194"
"affected_bits","0","\0","src\constants.c","267"
"affected_bits","1","BLIND","src\constants.c","267"
"affected_bits","2","INVIS","src\constants.c","267"
"affected_bits","3","DET-ALIGN","src\constants.c","267"
"affected_bits","4","DET-INVIS","src\constants.c","267"
"affected_bits","5","DET-MAGIC","src\constants.c","267"
"affected_bits","6","SENSE-LIFE","src\constants.c","267"
"affected_bits","7","WATWALK","src\constants.c","267"
"affected_bits","8","SANCT","src\constants.c","267"
"affected_bits","9","GROUP","src\constants.c","267"
"affected_bits","10","CURSE","src\constants.c","267"
"affected_bits","11","INFRA","src\constants.c","267"
"affected_bits","12","POISON","src\constants.c","267"
"affected_bits","13","PROT-EVIL","src\constants.c","267"
"affected_bits","14","PROT-GOOD","src\constants.c","267"
"affected_bits","15","SLEEP","src\constants.c","267"
"affected_bits","16","NO_TRACK","src\constants.c","267"
"affected_bits","17","FLY","src\constants.c","267"
"affected_bits","18","SCUBA","src\constants.c","267"
"affected_bits","19","SNEAK","src\constants.c","267"
"affected_bits","20","HIDE","src\constants.c","267"
"affected_bits","21","UNUSED","src\constants.c","267"
"affected_bits","22","CHARM","src\constants.c","267"
"affected_bits","23","WEBBED","src\constants.c","267"
"affected_bits","24","SILENCED","src\constants.c","267"
"affected_bits","25","PHASE","src\constants.c","267"
"affected_bits","26","MARKED","src\constants.c","267"
"affected_bits","27","ARCANE-LEAK","src\constants.c","267"
"affected_bits","28","TIME-SNARE","src\constants.c","267"
"affected_bits","29","SPELLLOCK","src\constants.c","267"
"affected_bits","30","CORRODED","src\constants.c","267"
"affected_bits","31","FEARFUL","src\constants.c","267"
"affected_bits","32","STATIC","src\constants.c","267"
"affected_bits","33","BLOODLUST","src\constants.c","267"
"affected_bits","34","WARD-FIRE","src\constants.c","267"
"affected_bits","35","WARD-COLD","src\constants.c","267"
"affected_bits","36","WARD-LIGHTNING","src\constants.c","267"
"affected_bits","37","WARD-ACID","src\constants.c","267"
"affected_bits","38","STONESKIN","src\constants.c","267"
"affected_bits","39","MIRROR-IMAGE","src\constants.c","267"
"affected_bits","40","BURNING","src\constants.c","267"
"affected_bits","41","FROZEN","src\constants.c","267"
"affected_bits","42","ROOTED","src\constants.c","267"
"affected_bits","43","STUNNED","src\constants.c","267"
"affected_bits","44","BLIND-MAG","src\constants.c","267"
"affected_bits","45","WARDED","src\constants.c","267"
"affected_bits","46","HEXED","src\constants.c","267"
"affected_bits","47","SHIELDED","src\constants.c","267"
"affected_bits","48","REGENERATING","src\constants.c","267"
"affected_bits","49","TRUESIGHT","src\constants.c","267"
"affected_bits","50","EMPOWERED","src\constants.c","267"
"affected_bits","51","FORTIFIED","src\constants.c","267"
"affected_bits","52","WRAITHFORM","src\constants.c","267"
"affected_bits","53","BARKSKIN","src\constants.c","267"
"affected_bits","54","HOLY-AURA","src\constants.c","267"
