"File","Line","Function","Command","Evidence"
"src\act.wizard.c","4103","perform_set","aedit","if (is_abbrev(val_arg, ""socials"") || is_abbrev(val_arg, ""actions"") || is_abbrev(val_arg, ""aedit""))"
"src\interpreter.c","119","","aedit","{ ""aedit""    , ""aed""     , POS_DEAD    , do_oasis_aedit, LVL_GOD, 0 },"
"src\interpreter.c","163","","cedit","{ ""cedit""    , ""cedit""   , POS_DEAD    , do_oasis_cedit, LVL_IMPL, 0 },"
"src\act.h","373","","do_acctclearpw","ACMD(do_acctclearpw);"
"src\act.wizard.c","5883","acctlist_show_entry","do_acctclearpw","ACMD(do_acctclearpw)"
"src\act.h","372","","do_acctforcepw","ACMD(do_acctforcepw);"
"src\act.wizard.c","5851","acctlist_show_entry","do_acctforcepw","ACMD(do_acctforcepw)"
"src\act.h","370","","do_acctlist","ACMD(do_acctlist);"
"src\act.wizard.c","5792","acctlist_show_entry","do_acctlist","ACMD(do_acctlist)"
"src\act.h","374","","do_acctsetpass","ACMD(do_acctsetpass);"
"src\act.wizard.c","5915","acctlist_show_entry","do_acctsetpass","ACMD(do_acctsetpass)"
"src\act.h","371","","do_acctshow","ACMD(do_acctshow);"
"src\act.wizard.c","5814","acctlist_show_entry","do_acctshow","ACMD(do_acctshow)"
"src\act.h","307","","do_action","ACMD(do_action);"
"src\dg_olc.c","456","script_syntax_highlighting","do_action","ACMD(do_action);"
"src\act.h","351","","do_advance","ACMD(do_advance);"
"src\act.wizard.c","2424","show_room_resets","do_advance","ACMD(do_advance)"
"src\act.h","88","","do_affects","ACMD(do_affects);"
"src\act.informative.c","2867","thirst_is_actively_draining","do_affects","ACMD(do_affects)"
"src\act.wizard.c","2316","show_room_resets","do_affremove","ACMD(do_affremove);"
"src\act.wizard.c","8095","perform_push","do_affremove","ACMD(do_affremove)"
"src\interpreter.c","63","","do_affremove","ACMD(do_affremove);"
"src\interpreter.c","735","free_alias","do_alias","ACMD(do_alias)"
"src\interpreter.h","44","","do_alias","ACMD(do_alias);"
"src\act.h","100","","do_appraise","ACMD(do_appraise);"
"src\shop.c","115","shop_format_price","do_appraise","ACMD(do_appraise);"
"src\shop.c","1816","find_shopkeeper_for_room","do_appraise","ACMD(do_appraise)"
"src\act.h","212","","do_appraise_enemy","ACMD(do_appraise_enemy);"
"src\act.h","86","","do_areas","ACMD(do_areas);"
"src\act.informative.c","5198","get_zone_levels","do_areas","ACMD(do_areas)"
"src\act.wizard.c","7081","mobtemplate_range_is_clear","do_areatemplate","ACMD(do_areatemplate)"
"src\interpreter.c","65","","do_areatemplate","ACMD(do_areatemplate);"
"src\interpreter.h","131","","do_areatemplate","ACMD(do_areatemplate);"
"src\act.h","197","","do_assist","ACMD(do_assist);"
"src\aedit.c","743","aedit_parse","do_astat","ACMD(do_astat)"
"src\oasis.h","481","","do_astat","ACMD(do_astat);"
"src\act.h","352","","do_at","ACMD(do_at);"
"src\act.wizard.c","368","find_target_room","do_at","ACMD(do_at)"
"src\dg_scripts.c","941","add_trigger","do_attach","ACMD(do_attach)"
"src\dg_scripts.h","270","","do_attach","ACMD(do_attach) ;"
"src\act.h","106","","do_attr","ACMD(do_attr);"
"src\act.informative.c","5588","list_scanned_group","do_attr","ACMD(do_attr)"
