"File","Line","Function","MenuText","SourceOutput"
"src\act.clan.c","356","clanedit_pvp_menu","0) No PvP / No PK","\r\nClan PvP / PK Type\r\n0) No PvP / No PK\r\n1) Always PvP / PK always on\r\n2) Toggle PvP / PK (players opt in)\r\n\r\nEnter choice (0-2): "
"src\act.clan.c","356","clanedit_pvp_menu","1) Always PvP / PK always on","\r\nClan PvP / PK Type\r\n0) No PvP / No PK\r\n1) Always PvP / PK always on\r\n2) Toggle PvP / PK (players opt in)\r\n\r\nEnter choice (0-2): "
"src\act.clan.c","356","clanedit_pvp_menu","2) Toggle PvP / PK (players opt in)","\r\nClan PvP / PK Type\r\n0) No PvP / No PK\r\n1) Always PvP / PK always on\r\n2) Toggle PvP / PK (players opt in)\r\n\r\nEnter choice (0-2): "
"src\act.clan.c","375","clanedit_menu","1) Name","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: "
"src\act.clan.c","375","clanedit_menu","2) Display Name","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: "
"src\act.clan.c","375","clanedit_menu","3) Tag","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: "
"src\act.clan.c","375","clanedit_menu","4) PvP / PK Type","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: "
"src\act.clan.c","375","clanedit_menu","Q) Quit","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: "
"src\act.informative.c","5272","get_zone_levels","c	nAll Levels","	n(%3d) %s%-*s	n %s%s	n\r\n	c	nAll Levels"
"src\act.item.c","1301","name_to_drinkcon","A most unproductive effort.","A most unproductive effort.\r\n"
"src\act.movement.c","618","do_simple_move","A mysterious barrier forces you back! That area is off-limits.","A mysterious barrier forces you back! That area is off-limits.\r\n"
"src\act.movement.c","622","do_simple_move","A mysterious barrier forces you back! That area is off-limits.","A mysterious barrier forces you back! That area is off-limits.\r\n"
"src\act.movement.c","870","find_door","I see no %s there.","I see no %s there.\r\n"
"src\act.movement.c","876","find_door","I really don't see how you can %s anything there.","I really don't see how you can %s anything there.\r\n"
"src\act.movement.c","1227","ok_pick","I see no obvious exits to the outside.","I see no obvious exits to the outside.\r\n"
"src\act.other.c","595","show_ability_filter_help","A bright flash prevents your recall from working!","A bright flash prevents your recall from working!"
"src\act.other.c","1527","study_apply_cooldown","A practice session costs %d Glory. You currently have %d Glory.","A practice session costs %d Glory. You currently have %d Glory.\r\n"
