"File","Line","Symbol","Definition","Function","Evidence"
"src\oasis.h","154","AEDIT_ACTION_NAME","4","","#define AEDIT_ACTION_NAME              4"
"src\oasis.h","152","AEDIT_CONFIRM_ADD","2","","#define AEDIT_CONFIRM_ADD              2"
"src\oasis.h","151","AEDIT_CONFIRM_EDIT","1","","#define AEDIT_CONFIRM_EDIT             1"
"src\oasis.h","150","AEDIT_CONFIRM_SAVESTRING","0","","#define AEDIT_CONFIRM_SAVESTRING       0"
"src\oasis.h","158","AEDIT_HIDDEN_FLAG","8","","#define AEDIT_HIDDEN_FLAG              8"
"src\oasis.h","153","AEDIT_MAIN_MENU","3","","#define AEDIT_MAIN_MENU                3"
"src\oasis.h","159","AEDIT_MIN_CHAR_LEVEL","9","","#define AEDIT_MIN_CHAR_LEVEL           9"
"src\oasis.h","156","AEDIT_MIN_CHAR_POS","6","","#define AEDIT_MIN_CHAR_POS             6"
"src\oasis.h","157","AEDIT_MIN_VICT_POS","7","","#define AEDIT_MIN_VICT_POS             7"
"src\oasis.h","160","AEDIT_NOVICT_CHAR","10","","#define AEDIT_NOVICT_CHAR              10"
"src\oasis.h","161","AEDIT_NOVICT_OTHERS","11","","#define AEDIT_NOVICT_OTHERS            11"
"src\oasis.h","171","AEDIT_OBJ_CHAR_FOUND","21","","#define AEDIT_OBJ_CHAR_FOUND           21"
"src\oasis.h","172","AEDIT_OBJ_OTHERS_FOUND","22","","#define AEDIT_OBJ_OTHERS_FOUND         22"
"src\oasis.h","23","AEDIT_PERMISSION","999  /* arbitrary number higher than max zone vnum*/","","#define AEDIT_PERMISSION  999  /* arbitrary number higher than max zone vnum*/"
"src\oasis.h","166","AEDIT_SELF_CHAR","16","","#define AEDIT_SELF_CHAR                16"
"src\oasis.h","167","AEDIT_SELF_OTHERS","17","","#define AEDIT_SELF_OTHERS              17"
"src\oasis.h","155","AEDIT_SORT_AS","5","","#define AEDIT_SORT_AS                  5"
"src\oasis.h","168","AEDIT_VICT_CHAR_BODY_FOUND","18","","#define AEDIT_VICT_CHAR_BODY_FOUND     18"
"src\oasis.h","162","AEDIT_VICT_CHAR_FOUND","12","","#define AEDIT_VICT_CHAR_FOUND          12"
"src\oasis.h","165","AEDIT_VICT_NOT_FOUND","15","","#define AEDIT_VICT_NOT_FOUND           15"
"src\oasis.h","169","AEDIT_VICT_OTHERS_BODY_FOUND","19","","#define AEDIT_VICT_OTHERS_BODY_FOUND   19"
"src\oasis.h","163","AEDIT_VICT_OTHERS_FOUND","13","","#define AEDIT_VICT_OTHERS_FOUND        13"
"src\oasis.h","170","AEDIT_VICT_VICT_BODY_FOUND","20","","#define AEDIT_VICT_VICT_BODY_FOUND     20"
"src\oasis.h","164","AEDIT_VICT_VICT_FOUND","14","","#define AEDIT_VICT_VICT_FOUND          14"
"src\act.wizard.c","7147","can_edit_new_zone","enum/list symbol","mobtemplate_range_is_clear","can_edit_new_zone = TRUE;"
"src\act.wizard.c","7150","can_edit_new_zone","enum/list symbol","mobtemplate_range_is_clear","can_edit_new_zone = TRUE;"
"src\oasis.h","396","CEDIT_AUTOSAVE_TIME","37","","#define CEDIT_AUTOSAVE_TIME		37"
"src\oasis.h","366","CEDIT_AUTOWIZ_OPTIONS_MENU","7","","#define CEDIT_AUTOWIZ_OPTIONS_MENU	7"
"src\oasis.h","360","CEDIT_CONFIRM_SAVESTRING","1","","#define CEDIT_CONFIRM_SAVESTRING	1"
"src\oasis.h","397","CEDIT_CRASH_FILE_TIMEOUT","38","","#define CEDIT_CRASH_FILE_TIMEOUT	38"
"src\oasis.h","362","CEDIT_CRASHSAVE_OPTIONS_MENU","3","","#define CEDIT_CRASHSAVE_OPTIONS_MENU	3"
"src\oasis.h","416","CEDIT_DEBUG_MODE","57","","#define CEDIT_DEBUG_MODE     57"
"src\oasis.h","372","CEDIT_DFLT_DIR","13","","#define CEDIT_DFLT_DIR			13"
"src\oasis.h","371","CEDIT_DFLT_IP","12","","#define CEDIT_DFLT_IP			12"
"src\oasis.h","405","CEDIT_DFLT_PORT","46","","#define CEDIT_DFLT_PORT			46"
"src\oasis.h","364","CEDIT_DISP_EXPERIENCE_MENU","5","","#define CEDIT_DISP_EXPERIENCE_MENU	5"
"src\oasis.h","402","CEDIT_DONATION_ROOM_1","43","","#define CEDIT_DONATION_ROOM_1		43"
"src\oasis.h","403","CEDIT_DONATION_ROOM_2","44","","#define CEDIT_DONATION_ROOM_2		44"
"src\oasis.h","404","CEDIT_DONATION_ROOM_3","45","","#define CEDIT_DONATION_ROOM_3		45"
"src\oasis.h","390","CEDIT_DTS_ARE_DUMPS","31","","#define CEDIT_DTS_ARE_DUMPS		31"
