"File","Line","Function","SourceMode","SourceCase","TargetMode","Assignment","Evidence"
"src\act.clan.c","517","clanedit_parse","","'n'","CON_PLAYING","STATE(d)","STATE(d) = CON_PLAYING;"
"src\act.wizard.c","2704","perform_immort_invis","","","CON_DISCONNECT","STATE(d)","STATE(d) = CON_DISCONNECT;"
"src\act.wizard.c","2706","perform_immort_invis","","","CON_CLOSE","STATE(d)","STATE(d) = CON_CLOSE;"
"src\aedit.c","99","","","","AEDIT_CONFIRM_ADD","OLC_MODE(d)","OLC_MODE(d) = AEDIT_CONFIRM_ADD;"
"src\aedit.c","102","","","","AEDIT_CONFIRM_EDIT","OLC_MODE(d)","OLC_MODE(d) = AEDIT_CONFIRM_EDIT;"
"src\aedit.c","104","","","","CON_AEDIT","STATE(d)","STATE(d) = CON_AEDIT;"
"src\aedit.c","321","aedit_disp_menu","","","AEDIT_MAIN_MENU","OLC_MODE(d)","OLC_MODE(d) = AEDIT_MAIN_MENU;"
"src\aedit.c","372","aedit_parse","","'n': case 'N'","AEDIT_CONFIRM_ADD","OLC_MODE(d)","OLC_MODE(d) = AEDIT_CONFIRM_ADD;"
"src\aedit.c","376","aedit_parse","","'n': case 'N'","AEDIT_CONFIRM_EDIT","OLC_MODE(d)","OLC_MODE(d) = AEDIT_CONFIRM_EDIT;"
"src\aedit.c","408","aedit_parse","","'q': case 'Q'","AEDIT_CONFIRM_SAVESTRING","OLC_MODE(d)","OLC_MODE(d) = AEDIT_CONFIRM_SAVESTRING;"
"src\aedit.c","414","aedit_parse","","'n'","AEDIT_ACTION_NAME","OLC_MODE(d)","OLC_MODE(d) = AEDIT_ACTION_NAME;"
"src\aedit.c","418","aedit_parse","","'1'","AEDIT_SORT_AS","OLC_MODE(d)","OLC_MODE(d) = AEDIT_SORT_AS;"
"src\aedit.c","426","aedit_parse","","'2'","AEDIT_MIN_CHAR_POS","OLC_MODE(d)","OLC_MODE(d) = AEDIT_MIN_CHAR_POS;"
"src\aedit.c","434","aedit_parse","","'3'","AEDIT_MIN_VICT_POS","OLC_MODE(d)","OLC_MODE(d) = AEDIT_MIN_VICT_POS;"
