"File","Line","Function","Context","Risk","Reasons","Evidence"
"src\act.clan.c","320","clan_show_roster","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","   318: 
   319:   if (list)
   320:     free(list);
   321: }
   322: 
   323: "
"src\act.informative.c","2787","is_saving_apply","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  2785:   drain_desc_for_affect(seed->spell, bits, entry->drain, sizeof(entry->drain));
  2786: 
  2787:   free(sig_nodes);
  2788:   free(sig_freq);
  2789: }
  2790: "
"src\act.informative.c","2788","is_saving_apply","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  2786: 
  2787:   free(sig_nodes);
  2788:   free(sig_freq);
  2789: }
  2790: 
  2791: static int aff_entry_same_visible(const struct aff_display_entry *a, const struct aff_display_entry *b)"
"src\act.informative.c","2958","thirst_is_actively_draining","line","DESTRUCTIVE_REVIEW","data cleared/reset on code path","  2956:   if (hunger_is_actively_draining(ch)) {
  2957:     struct aff_display_entry e;
  2958:     memset(&e, 0, sizeof(e));
  2959:     snprintf(e.name, sizeof(e.name), ""hunger strain"");
  2960:     snprintf(e.drain, sizeof(e.drain),
  2961:              (ch->char_specials.starving_ticks >= AFF_PROLONGED_TICK_THRESHOLD)"
"src\act.informative.c","2973","thirst_is_actively_draining","line","DESTRUCTIVE_REVIEW","data cleared/reset on code path","  2971:   if (thirst_is_actively_draining(ch)) {
  2972:     struct aff_display_entry e;
  2973:     memset(&e, 0, sizeof(e));
  2974:     snprintf(e.name, sizeof(e.name), ""thirst strain"");
  2975:     snprintf(e.drain, sizeof(e.drain),
  2976:              (ch->char_specials.dehydrated_ticks >= AFF_PROLONGED_TICK_THRESHOLD)"
"src\act.informative.c","3028","thirst_is_actively_draining","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  3026:   }
  3027: 
  3028:   free(seen);
  3029:   free(buff_entries);
  3030:   free(debuff_entries);
  3031: }"
"src\act.informative.c","3029","thirst_is_actively_draining","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  3027: 
  3028:   free(seen);
  3029:   free(buff_entries);
  3030:   free(debuff_entries);
  3031: }
  3032: "
"src\act.informative.c","3030","thirst_is_actively_draining","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  3028:   free(seen);
  3029:   free(buff_entries);
  3030:   free(debuff_entries);
  3031: }
  3032: 
  3033: ACMD(do_inventory)"
"src\act.informative.c","4811","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4809:       return;
  4810:     }
  4811:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_1);
  4812:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_2);
  4813:     if (tp & 1) SET_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_1);
  4814:     if (tp & 2) SET_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_2);"
"src\act.informative.c","4812","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4810:     }
  4811:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_1);
  4812:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_2);
  4813:     if (tp & 1) SET_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_1);
  4814:     if (tp & 2) SET_BIT_AR(PRF_FLAGS(ch), PRF_COLOR_2);
  4815: "
"src\act.informative.c","4828","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4826:       return;
  4827:     }
  4828:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_LOG1);
  4829:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_LOG2);
  4830:     if (tp & 1) SET_BIT_AR(PRF_FLAGS(ch), PRF_LOG1);
  4831:     if (tp & 2) SET_BIT_AR(PRF_FLAGS(ch), PRF_LOG2);"
"src\act.informative.c","4829","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4827:     }
  4828:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_LOG1);
  4829:     REMOVE_BIT_AR(PRF_FLAGS(ch), PRF_LOG2);
  4830:     if (tp & 1) SET_BIT_AR(PRF_FLAGS(ch), PRF_LOG1);
  4831:     if (tp & 2) SET_BIT_AR(PRF_FLAGS(ch), PRF_LOG2);
  4832: "
"src\act.informative.c","4917","perform_immort_where","case SCMD_AUTOMAP","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation | OLC/object/flag mutation","  case SCMD_AUTOMAP:
    if (can_see_map(ch)) {
      if (!*arg2) {
        TOGGLE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
        result = (PRF_FLAGGED(ch, tog_messages[toggle].toggle));
      } else if (!strcmp(arg2, ""on"")) {
        SET_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
        result = 1;
      } else if (!strcmp(arg2, ""off"")) {
        REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      } else {
        send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
        return;"
"src\act.informative.c","4926","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4924:         result = 1;
  4925:       } else if (!strcmp(arg2, ""off"")) {
  4926:         REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
  4927:       } else {
  4928:         send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
  4929:         return;"
"src\act.informative.c","4934","perform_immort_where","case default","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation | OLC/object/flag mutation","  default:
    if (!*arg2) {
      TOGGLE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      result = (PRF_FLAGGED(ch, tog_messages[toggle].toggle));
    } else if (!strcmp(arg2, ""on"")) {
      SET_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
      result = 1;
    } else if (!strcmp(arg2, ""off"")) {
      REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
    } else {
      send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
      return;"
"src\act.informative.c","4942","perform_immort_where","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  4940:       result = 1;
  4941:     } else if (!strcmp(arg2, ""off"")) {
  4942:       REMOVE_BIT_AR(PRF_FLAGS(ch), tog_messages[toggle].toggle);
  4943:     } else {
  4944:       send_to_char(ch, ""Value for %s must either be 'on' or 'off'.\r\n"", tog_messages[toggle].command);
  4945:       return;"
"src\act.informative.c","5004","free_history","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  5002:     tmp = tmp->next;
  5003:     if (ftmp->text)
  5004:       free(ftmp->text);
  5005:     free(ftmp);
  5006:   }
  5007:   GET_HISTORY(ch, type) = NULL;"
"src\act.informative.c","5005","free_history","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  5003:     if (ftmp->text)
  5004:       free(ftmp->text);
  5005:     free(ftmp);
  5006:   }
  5007:   GET_HISTORY(ch, type) = NULL;
  5008: }"
"src\act.informative.c","5077","add_history","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  5075:       GET_HISTORY(ch, type) = tmp->next;
  5076:       if (tmp->text)
  5077:         free(tmp->text);
  5078:       free(tmp);
  5079:     }
  5080:   }"
"src\act.informative.c","5078","add_history","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  5076:       if (tmp->text)
  5077:         free(tmp->text);
  5078:       free(tmp);
  5079:     }
  5080:   }
  5081:   /* add this history message to ALL */"
"src\act.item.c","248","get_check_money","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","   246:     return;
   247: 
   248:   extract_obj(obj);
   249:   increase_money_gold(ch, (long long)value);
   250:   if (value == 1)
   251:     send_to_char(ch, ""The pile of coins was worth %d gold coin.\r\n"", value);"
"src\act.item.c","475","perform_drop_gold","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","   473:         if (!drop_wtrigger(obj, ch)) {
   474:           if (has_obj_by_uid_in_lookup_table(object_id))
   475:             extract_obj(obj);
   476: 
   477:           return;
   478:         }"
"src\act.item.c","546","perform_drop_gold","case SCMD_JUNK","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","  case SCMD_JUNK:
    value = MAX(1, MIN(200, GET_OBJ_COST(obj) / 16));
    extract_obj(obj);
    return (value);"
"src\act.item.c","548","perform_drop_gold","line","DESTRUCTIVE_REVIEW","delete/purge/extract/remove/free operation","   546:   case SCMD_JUNK:
   547:     value = MAX(1, MIN(200, GET_OBJ_COST(obj) / 16));
   548:     extract_obj(obj);
   549:     return (value);
   550:   default:
   551:     log(""SYSERR: Incorrect argument %d passed to perform_drop."", mode);"
