"File","Line","Function","Kind","Text","EndsWithNewline","Evidence"
"src\act.clan.c","734","clanedit_parse","CALL","save_char(ch);",,"   732: 
   733:     /* Save if available in your codebase; harmless if you remove it later. */
   734:     save_char(ch);
   735:     return;
   736:   }
   737: 
   738:   if (!str_cmp(arg1, ""quit"")) {"
"src\act.clan.c","746","clanedit_parse","CALL","save_char(ch);",,"   744:     SET_CLAN_ID(ch, 0);
   745:     SET_CLAN_RANK(ch, 0);
   746:     save_char(ch);
   747:     return;
   748:   }
   749: 
   750:   actor_rank = GET_CLAN_RANK(ch);"
"src\act.clan.c","791","clanedit_parse","CALL","save_char(vict);",,"   789:     SET_CLAN_ID(vict, GET_CLAN_ID(ch));
   790:     SET_CLAN_RANK(vict, CLAN_RANK_MEMBER);
   791:     save_char(vict);
   792: 
   793:     send_to_char(ch, ""You invite %s into %s.\r\n"", GET_NAME(vict), clan_display_name_by_id(GET_CLAN_ID(ch)));
   794:     send_to_char(vict, ""%s invites you into %s.\r\n"", GET_NAME(ch), clan_display_name_by_id(GET_CLAN_ID(ch)));
   795:     send_to_clan(GET_CLAN_ID(ch), ""A new member has joined the clan."", NULL);"
"src\act.clan.c","862","clanedit_parse","CALL","save_char(vict);",,"   860: 
   861:     SET_CLAN_RANK(vict, new_rank);
   862:     save_char(vict);
   863: 
   864:     send_to_char(ch, ""You %s %s to clan rank %d.\r\n"",
   865:       (delta > 0) ? ""promote"" : ""demote"", GET_NAME(vict), new_rank);
   866:     send_to_char(vict, ""%s %ss you to clan rank %d.\r\n"","
"src\act.clan.c","946","clan_wrap","CALL","save_char(ch);",,"   944:     SET_CLAN_ID(ch, new_id);
   945:     SET_CLAN_RANK(ch, 10); /* leader rank for now */
   946:     save_char(ch);
   947: 
   948:     send_to_char(ch, ""Clan created.\r\n"");
   949:   }
   950: }"
"src\act.informative.c","2346","parse_bounty_amount","CALL","save_char(ch);",,"  2344:   SET_BOUNTY(vict, GET_BOUNTY(vict) + amount);
  2345: 
  2346:   save_char(ch);
  2347:   save_char(vict);
  2348: 
  2349:   format_gold_as_currency(bounty_buf, sizeof(bounty_buf), amount);
  2350: "
"src\act.informative.c","2347","parse_bounty_amount","CALL","save_char(vict);",,"  2345: 
  2346:   save_char(ch);
  2347:   save_char(vict);
  2348: 
  2349:   format_gold_as_currency(bounty_buf, sizeof(bounty_buf), amount);
  2350: 
  2351:   send_to_char(ch, ""You place a bounty of %s on %s.\r\n"", bounty_buf, GET_NAME(vict));"
"src\act.other.c","573","show_ability_filter_help","CALL","save_char(ch);",,"   571: 
   572:   send_to_char(ch, ""Saving %s.\r\n"", GET_NAME(ch));
   573:   save_char(ch);
   574:   Crash_crashsave(ch);
   575:   if (ROOM_FLAGGED(IN_ROOM(ch), ROOM_HOUSE_CRASH))
   576:     House_crashsave(GET_ROOM_VNUM(IN_ROOM(ch)));
   577: }"
"src\act.other.c","1787","study_apply_cooldown","CALL","save_char(ch);",,"  1785:     set_title(ch, argument);
  1786:     send_to_char(ch, ""Okay, you're now %s%s%s.\r\n"", GET_NAME(ch), *GET_TITLE(ch) ? "" "" : """", GET_TITLE(ch));
  1787:     save_char(ch);
  1788:   }
  1789: }
  1790: 
  1791: static void print_group(struct char_data *ch)"
"src\act.other.c","2201","detach_charmed_follower","CALL","save_char(ch);",,"  2199:     act(""$n calls forth $T from $s shadow storage."", FALSE, ch, NULL, display_name, TO_ROOM);
  2200:     send_to_char(ch, ""You expend %d mana.\r\n"", mana_cost);
  2201:     save_char(ch);
  2202:     return;
  2203:   }
  2204: 
  2205:   if (is_abbrev(shadow_subcmd, ""store"")) {"
