"File","Bytes","Lines","SHA256","EditorScore","KnownBuilderFile"
"src\medit.c","65854","2060","9F8F659D888F9F59E452A4B3BC8CE84CBF0040D9741221FE82CA6A1CD86E9279","242","True"
"src\cedit.c","61195","1742","FB1E531908E5CFE0F1DFB8510F9401280365CBC30A4DF7DCBF8797F1F13FD6CF","188","True"
"src\oedit.c","40936","1336","00402A8D08CF1443C8752E687D0EA0F1D1CF4FABD6F649A591996EB888EC0934","116","True"
"src\sedit.c","22245","784","1D8B6C2DB6B1A7EB593B00E00A526A9C209D586DBF3CE10011332C43C8EECAF5","116","True"
"src\qedit.c","27284","747","FD8AF62671A9EF8590585C60777A5E6D55970B3359FB92EDD7DDED18317DC9BC","99","True"
"src\redit.c","44110","1382","04A813B9F8C2E6DE899D3D907127E556BE0331358F94F0F108AD3C5A897321A7","97","True"
"src\aedit.c","30989","821","99AB57DCCACD55C0AF7499FE3DA781E54E481C4C2223EB6A50D437BFDE837D7E","88","True"
"src\zedit.c","40855","1311","C9BE101CD027DF77BE12C9CF049BC60C8B81C6351A3BDCA6F9A987C4D46B453F","88","True"
"src\msgedit.c","24577","710","E8D968BB8E1143F83EF99DCAC50E2C3FD525F0B6CBB6A429E059403021EE472D","57","True"
"src\dg_olc.c","56810","1560","1D5B1921DCBA2D110C40B379335332E426C73EAE88BDD58027443A17F849C41E","53","True"
"src\hedit.c","15417","508","6EBB0D4C28F024D3F04A38CCEBD210C8F7437EB76BCDA7926DBAF499DAD5B6B2","43","True"
"src\ibt.c","39114","1183","6066644347BE131B22110FBD8581572F94FDA7C55935D4FB86556AA5E1C67904","42","False"
"src\prefedit.c","38450","923","8DED3DB4B98F50EBA0F48E72B82A54958AB1754AE045D24A3DDF451E43D97D7E","33","True"
"src\act.clan.c","26528","956","5E731511A1A04E5D1FC8AA9CBFD8F401BCF152476EE8CD3F8E9CC030E7368114","4","False"
"src\mail.c","11774","374","6F5108B6DE8AD92FDD93CEA80DAE264100BB6A1C028BD336A39E9ACA43EB8960","4","False"
"src\oasis.h","18987","516","EEB8E058386B30358514A0DA47D27F0D80EFC97505F4F9CEA0E1F8C5BBC3EDCE","3","True"
"src\utils.h","59030","1206","52BC444C8695A2A7D28CEB0618AD59D268F9BF0A16F2F06A7C286615FB5AD527","3","True"
"src\act.comm.c","17795","545","3603E04C2F4AB1F9E7EB256F48C503C09A2FDD24855E1B49AECA86DF99252191","2","False"
"src\boards.c","18083","551","29D95ADDC305494C5290A735AE8ADD6E749B65E3E284334231C0AB005CB60233","2","False"
"src\modify.c","18353","566","5BB906A4E6954896EC25D78534249B934D9FBD7187B85345B64F3B04E8AD545A","2","True"
"src\modify.h","1629","38","017B7AD0AB270CB3C8FD69C188E78B994844187825F94B03C5133B3119192916","2","False"
"src\tedit.c","4596","149","CE9E53E8807972F4063CE557E65FF55E035A09C2F3FFA19BC40BF15FA2F9F09A","2","True"
"src\act.h","11112","404","1EDE9579C440B4C0E1AD9BD154473335FD58880DF403C43F430B63F7369236D2","0","False"
"src\act.informative.c","195312","6008","B60E776EAA9D38C4D653AD26D59B41E46DF8FED2CDC6D3EF68BCC2056B7482F6","0","False"
"src\act.item.c","79173","2414","B7F6164EAA0FFD68FC5E8723863639F16A489F80584D0D2191DEDE8564AC857F","0","False"
"src\act.movement.c","48884","1540","41A62B13A0EF9DA00DB99DC214907850973D5DC4DE2249E4E2CC561CFE897EE1","0","False"
"src\act.other.c","95475","2921","02D907F9B74A436555A71D508BEA98A940962C6550590F57ADCED2A408CC8AD1","0","False"
"src\act.wizard.c","281594","8240","FAD930B4A4876A758F789867D8D9FECB59D761AE96E81C22381A1E0F517A68CD","0","False"
"src\asciimap.h","1045","23","533E807EADA6DFDFD50C79F843DD653E465E1E19F04DC4B375BCB2DA29FB4C22","0","False"
"src\class.h","2225","68","8C16BE1CFDD8D327F8521087288A9F09A039A1FE15F5E2544D38529E83466CA8","0","True"
"src\comm.c","82319","2726","BA90EA8C6A27791B1B469FC9017022CB8565B92EB5794DF272E1C60612DA71D4","0","False"
"src\config.c","13930","321","C5DB5ACDDFF63D8B8D87C949480C174C55961852648576B11FBF59723E33D496","0","False"
"src\config.h","2600","91","4D484D4A635975B2CC1E903B1B53D2E959E3B26F647115BADD1E45F2C6C9F47C","0","False"
"src\constants.c","20224","1024","3868F186E2AF7E639FFF97A83DC9DE033B5793C5D357C924914186974F23DB8E","0","True"
"src\constants.h","2111","62","598F272CF0BC9DBA78FF990B22F8A5BBE16F24BED84F63E9372984E2EADD7416","0","True"
"src\db.c","141364","4505","63BD8939FB1EF1B357EB3B339EC76740279DFE591F0C4BBA34E7DB91615EE7F6","0","True"
"src\db.h","15199","414","71A637709F47B64A88C3C6904A9B6B367A957105B262115FA9ED4E17057F93DA","0","True"
"src\dg_event.c","9952","344","9004618B7999C41D035D0EFAFC4DCAB5904661B9E3B93E5F9BA992B16B0738D3","0","False"
"src\dg_event.h","3637","83","481AB74F1AC25BAFAE8849A4D652F9AF03418D2284E7DD2138BE4F87123D5D58","0","False"
"src\dg_olc.h","2075","56","16AF31A97161D32A0E2546886666C5A297C2035408F1B5C8DD914AE4BC364A4F","0","True"
"src\dg_scripts.c","93451","3167","646CD5E8F2F6EE677341CC591D3531AF9F579376DC37FB7E77FCB9F8B24D5FE4","0","False"
"src\dg_scripts.h","19911","466","516518830414C1F65152C05DCBE180202DE4B80B369A0426EB3731DD2654F37B","0","True"
"src\dg_triggers.c","37219","1289","2A4A404E75752A51E4E07E0485B9B4532EAB00B8BC36A5ED2D97B861FF85E914","0","False"
"src\dg_variables.c","61816","1718","15DE7C475B9929D27C0062E17FA3D9FDB0F1BEBB7513A1A44A9833C49E191F43","0","False"
"src\fight.c","91812","2736","A44CCF42F0811B1742D424CC87ED2A52B583B68733906BED21C9A0EBB8F28A5E","0","False"
"src\genmob.c","15616","470","9631DBE6106496CC3A52B414871D6B2CAB94165E7004158E66BFDDE0DE8EDC0E","0","False"
"src\genmob.h","1750","42","3A7B99E965B8B63B113E6A197C33A38F38A91CA671E6A01AE77CA246D289287A","0","False"
"src\genobj.c","19172","596","33501DC8F15299A5E9DCCCCAC93EEA194B625DBAAB7777DC0B791EAE6EF49D65","0","False"
"src\genolc.c","34510","1063","6DDF539BA60F896A6C9D217298BF8BED97E56C2FBDB1A7F3211B6E6E2806EB36","0","True"
"src\genolc.h","1723","60","D0C103E01E6BCBA0E6EA60CA71CD78550C44798E681E9A380C7A2B74B42DFADB","0","True"
"src\genqst.c","9385","281","1EBAABC4614AD9F8726FD5B82E8CC11380AF3F86C091751C4109E1CFDDC418A6","0","False"
"src\genshp.c","12766","444","7F715485AEEDEDD6345C1453B98B41CBB0A460F1D3B882714356DEC16814A152","0","False"
"src\genwld.c","14517","472","1A12024CEF500DE51627A17EB7155C973DD4B57EC1A441B3FD8DFF4E0F7E8E31","0","False"
"src\genzon.c","19770","589","D0634F95C5640B3A64C2AEB31750657B6530065909B5A7AFE6F7F1FF3F071C58","0","False"
"src\handler.c","46862","1647","EDE36694ED1385882820E7C0845318388C2DDC1FE58944BD95D4B3E8603A8334","0","False"
"src\hedit.h","904","31","EFC7AC65DC812336A66E962229BEC74BADCC58D1110F55D95E0A0ED0CC68E2E0","0","True"
"src\ibt.h","4567","103","A5B5FCEECDB6CD702B277424AFAD58F6C71B3CFB431067B6D63D151E3B5A2477","0","False"
"src\improved-edit.c","22140","707","AFCB1FEADF6814877121EEF07587A4D3F7A2D93BF7991BBB320BAE4E787E078C","0","True"
"src\improved-edit.h","1828","46","FFABDAB764708C3411A9721BA0F7340BBEF1E2DE6E562E9518D22267C383C2BC","0","True"
"src\interpreter.c","101857","2661","666D7E6BFCC3DA5C04922B8A809F188C2B7382773852CEB7A64E7D12C3C8AD2C","0","True"
"src\interpreter.h","4303","137","BB18AE224A58DBC08A9E90F890CDD14718FA15E14E78B1E3B76A9FEE78E93BD9","0","True"
"src\msgedit.h","1473","42","7CFF42B776C65935DEE318D0E822FEC88D2AEC236384AD6D9FFDAF30ECD58B32","0","True"
"src\oasis.c","9306","313","5F3CEED1DDEB8A08EEA39E94F2CB0E639BABEFBF89D9E1D4525B3D7E134909EA","0","True"
"src\oasis_copy.c","16337","468","21497F99291CDEE977587E847C5D0953C279758130750ECADDD0082FF27AA5D8","0","True"
"src\oasis_delete.c","3268","110","069587ACD12AEAD72DF53F14E419A767A6CA7C021DC9872B9CD0DF55AEA4D5B1","0","True"
"src\oasis_list.c","35264","953","D056CF24C59462C69B857F783BA833D5AFD7DEAB25885EDB25D89AAC9D763C2A","0","True"
"src\players.c","60053","1578","0297B8B57C6C4A99AD9C9673AC23B23962C0CC89FCFF343FEBA1950C8C300B87","0","False"
"src\prefedit.h","2787","59","BB5D567C2020DEB9108209618092FC294FF471E2F5D8BB7BED2DC01C46AE037A","0","True"
"src\protocol.c","94521","2543","8F0DEC98171EC9033066F6EB47BDB79AF0DE0D73F69F9A70227963EAE9505381","0","False"
"src\quest.c","58304","1749","9E7AA5C5402F6DA771D1ADAC5EC29853667F7A01F69A5F3F0D323502EDC35086","0","True"
"src\quest.h","8999","160","40859A051040F51A05734A1619179476F9144CBDD81791B492DC4C440D242386","0","True"
"src\screen.h","8347","183","C198F8A8DFE0EEDA9C9422370FF65BEDF792CBDF90CFC878354ECE858912B009","0","True"
"src\shop.c","59348","1832","77D5F32FED35C4C04556AF449D702260D8963449B6CDA0133482229E03324DE9","0","True"
"src\shop.h","6444","158","0F9177DA0BBD5E3F1EF10E2284C8CF39F68CE87215F2D5D2358B342EA3C3D449","0","True"
"src\spells.h","27997","696","9D8857C3E9EC46271D5488CD7156B304E778CABB581B2AF46AE4F8E11BE4DA86","0","True"
"src\structs.h","79641","1666","2679F27C4E59645B0699A22476CE6BF93CE5D7700FD83BDBD79958F51217C4C6","0","True"
"src\util\plrtoascii.c","14212","396","96FC0539E8AFD804A05E3A622F01AA524F24C65BF4C669CB4457222D9B11CB51","0","False"
